category_name,data_series,is_active,updated_at
Baby Food,Baby Food,true,2026-04-13 11:31:23.990876+00
"Beef, Chilled Or Frozen","Beef, Chilled Or Frozen",true,2026-04-13 11:31:23.990876+00
Biscuits & Cookies,Biscuits & Cookies,true,2026-04-13 11:31:23.990876+00
Bread,Bread,true,2026-04-13 11:31:23.990876+00
Butter & Other Fats,Butter & Other Fats,true,2026-04-13 11:31:23.990876+00
Cakes & Pastries,Cakes & Pastries,true,2026-04-13 11:31:23.990876+00
"Citrus, Beries, Stone & Other Fruits, Fresh","Citrus, Beries, Stone & Other Fruits, Fresh",true,2026-04-13 11:31:23.990876+00
Cocoa & Malt-Based Drinks,Cocoa & Malt-Based Drinks,true,2026-04-13 11:31:23.990876+00
Coffee & Coffee Substitutes,Coffee & Coffee Substitutes,true,2026-04-13 11:31:23.990876+00
Eggs,Eggs,true,2026-04-13 11:31:23.990876+00
"Fish, Fresh Or Chilled","Fish, Fresh Or Chilled",true,2026-04-13 11:31:23.990876+00
Fruit & Vegetable Juices,Fruit & Vegetable Juices,true,2026-04-13 11:31:23.990876+00
Gas,Gas,true,2026-04-13 11:31:23.990876+00
"Jams, Fruit Jellies, Fruit Puree & Pastes, Honey","Jams, Fruit Jellies, Fruit Puree & Pastes, Honey",true,2026-04-13 11:31:23.990876+00
"Leafy Vegetables, Fresh Or Chilled","Leafy Vegetables, Fresh Or Chilled",true,2026-04-13 11:31:23.990876+00
"Macaroni, Noodles & Similar Pasta Products","Macaroni, Noodles & Similar Pasta Products",true,2026-04-13 11:31:23.990876+00
"Meat, Preserved Or Prepared","Meat, Preserved Or Prepared",true,2026-04-13 11:31:23.990876+00
Milk,Milk,true,2026-04-13 11:31:23.990876+00
"Mutton, Chilled Or Frozen","Mutton, Chilled Or Frozen",true,2026-04-13 11:31:23.990876+00
Non-Alcoholic Beverages Nec,Non-Alcoholic Beverages Nec,true,2026-04-13 11:31:23.990876+00
Non-Durable Household Goods,Non-Durable Household Goods,true,2026-04-13 11:31:23.990876+00
Other Food Products Nec,Other Food Products Nec,true,2026-04-13 11:31:23.990876+00
"Other Seafood, Fresh, Chilled Or Frozen","Other Seafood, Fresh, Chilled Or Frozen",true,2026-04-13 11:31:23.990876+00
"Other Vegetables, Fresh Or Chilled","Other Vegetables, Fresh Or Chilled",true,2026-04-13 11:31:23.990876+00
"Pork, Chilled Or Frozen","Pork, Chilled Or Frozen",true,2026-04-13 11:31:23.990876+00
"Poultry, Chilled Or Frozen","Poultry, Chilled Or Frozen",true,2026-04-13 11:31:23.990876+00
Ready-Made Food,Ready-Made Food,true,2026-04-13 11:31:23.990876+00
Rice,Rice,true,2026-04-13 11:31:23.990876+00
"Root Vegetables, Fresh Or Chilled","Root Vegetables, Fresh Or Chilled",true,2026-04-13 11:31:23.990876+00
"Salt, Condiments & Sauces","Salt, Condiments & Sauces",true,2026-04-13 11:31:23.990876+00
Seafood Preparations,Seafood Preparations,true,2026-04-13 11:31:23.990876+00
Soft Drinks,Soft Drinks,true,2026-04-13 11:31:23.990876+00
"Spices, Culinary Herbs & Seeds","Spices, Culinary Herbs & Seeds",true,2026-04-13 11:31:23.990876+00
Sugar,Sugar,true,2026-04-13 11:31:23.990876+00
Tea,Tea,true,2026-04-13 11:31:23.990876+00
"Tropical Fruits, Fresh","Tropical Fruits, Fresh",true,2026-04-13 11:31:23.990876+00
Utilities & Other Fuels,Utilities & Other Fuels,true,2026-04-13 11:31:23.990876+00
Vegetable Oils,Vegetable Oils,true,2026-04-13 11:31:23.990876+00
"Vegetables, Canned Or Bottled","Vegetables, Canned Or Bottled",true,2026-04-13 11:31:23.990876+00